Construct,Color_max,Peak_max,Peak_max_std,Std_state_max,Std_state_max_std,Kinetics,Kinetics_std,Peak_green_ratio,Std_state_green_ratio,n_max,Peak_red,Peak_red_std,Std_state_red,Std_state_red_std,n_red,Peak_green,Peak_green_std,Std_state_green,Std_state_green_std,n_green,Peak_cyan,Peak_cyan_std,Std_state_cyan,Std_state_cyan_std,n_cyan,ss_red,ss_red_std,ss_green,ss_green_std,ss_teal,ss_teal_std,ss_cyan,ss_cyan_std,ss_blue,ss_blue_std,ss_violet,ss_violet_std
n11,VC_cyan,-1230.91486358,443.236729928,-749.363174438,220.678314811,79.85,12.3122906074,0.234649389235,0.347596044546,4,-9.17008161545,0.515697010917,-0.59888601303,0.503500767001,4,-263.611251831,71.7606156186,-254.222484588,71.5242710929,4,-1230.91486358,443.236729928,-749.363174438,220.678314811,4,0.00121022212048,0.00146853096045,0.347596044546,0.0477630386258,0.626266316982,0.101259957341,1.0,0.0,0.679828053024,0.100128968166,0.764691084941,0.0939521157161
n19,VC_cyan,-159.87897546,145.629346511,-96.2629855021,76.7531616319,54.1,15.5361329993,0.506928101628,0.506156418623,7,-12.3714505831,8.21593782311,-1.95592435201,3.95958639043,6,-61.4692312876,37.9591636192,-49.507528305,37.0897229517,6,-159.87897546,145.629346511,-96.2629855021,76.7531616319,7,0.0248896287777,0.0342580317696,0.488095734489,0.0737850974619,0.773883987518,0.192027433978,0.964317978654,0.0696497030633,0.776791293762,0.0993099214986,0.616304081132,0.0730541002244
n17,VC_blue,-16.7811431885,0.0,-6.24465179443,0.0,0.3,0.0,0.876547711379,0.460238802979,1,-8.00961303711,0.0,0.127838134766,0.0,1,-14.7094726562,0.0,-2.87403106689,0.0,1,-16.0319747925,0.0,-4.67846679688,0.0,1,-0.0204716193912,0.0,0.460238802979,0.0,0.566296354669,0.0,0.749195783991,0.0,1.0,0.0,0.717493851551,0.0
n15,VC_cyan,-325.085876465,158.80549168,-215.767044067,87.055424764,31.4,7.39324015571,0.199784929484,0.254235143626,4,-13.0767072042,1.78928146405,-2.3369216919,1.33732093305,3,-60.9034805297,29.1246989959,-49.9802331924,25.4365088645,4,-325.085876465,158.80549168,-215.767044067,87.055424764,4,0.0105389389913,0.00627291411633,0.254235143626,0.0198947578272,0.580730807979,0.0440234816611,1.0,0.0,0.734383339375,0.0280946374472,0.567855422461,0.0122137462588
n70,VC_green,-345.707822527,123.524016802,-305.961665562,114.310825858,30.1,9.71684840147,1.0,1.0,7,-250.159339905,63.6863025953,-158.63130188,36.8733489334,4,-345.707822527,123.524016802,-305.961665562,114.310825858,7,-272.975345611,67.137317132,-253.315700531,59.856535045,4,0.408083590828,0.101243350321,0.903573255442,0.107291025777,0.563098260705,0.144558332285,0.644365074152,0.137613634658,0.448342206061,0.104447529646,0.380445015669,0.100981036309
n72,VC_cyan,-44.8961653709,24.467481344,-32.839846611,23.81466274,176.7875,130.448729751,0.63072862304,0.416502833816,8,-12.983486448,3.03479378628,-3.69172205244,2.2900474059,7,-31.8587638007,14.7116225084,-14.970556683,14.6826657506,9,-44.8961653709,24.467481344,-32.839846611,23.81466274,8,0.109014932708,0.0407461501339,0.388238510221,0.0786545387528,0.551067819021,0.104933880912,0.932138940483,0.07189467258,0.864980956815,0.142520617692,0.505643647276,0.061814795736
n73,VC_green,-213.522613526,129.185857282,-203.005401611,128.790270329,50.65,6.942802028,1.0,1.0,4,-89.6746101382,27.3823509219,-44.4416503906,9.6714782715,2,-213.522613526,129.185857282,-203.005401611,128.790270329,4,-124.792943319,29.1293498478,-111.283706665,26.5743724603,3,0.338735279146,0.00229468701452,1.0,0.0,0.838804187149,0.0814066069464,0.909100879357,0.028809948864,0.654625257095,0.0118551409944,0.411584926091,0.020091578575
n65,VC_green,-463.836231995,329.421916227,-393.640753174,286.078262341,36.04,24.1006721898,1.0,1.0,5,-319.66473198,192.64373672,-220.840812683,140.449389629,4,-463.836231995,329.421916227,-393.640753174,286.078262341,5,-346.87879467,205.913378858,-319.858355522,194.357940162,4,0.434138838605,0.0936265114395,0.984527956837,0.0218807732786,0.540718795868,0.166292326902,0.567600070098,0.0342108336488,0.459556067774,0.0129353559402,0.356177804002,0.0790860582825
n20,VC_cyan,-652.857509613,294.062400937,-591.314144135,259.46738282,1199.175,231.322425145,0.603868495617,0.632622899069,8,-11.202394867,3.58610257412,-2.81978149414,2.8762407774,5,-407.069189453,124.310440189,-392.01729126,124.161698376,5,-652.857509613,294.062400937,-591.314144135,259.46738282,8,0.00313181935321,0.00433704418419,0.582810858591,0.138994022286,0.632881680258,0.0375847126898,0.921261085315,0.113723075777,0.725907383778,0.058655944854,0.886357580486,0.0890556526368
n63,VC_cyan,-216.5757459,89.4987628353,-190.818036397,81.3585871467,306.133333333,66.5959374804,0.720283648742,0.733426621524,12,-66.494735371,31.8684311755,-54.8376405889,27.7735697107,11,-159.425798856,61.6111416322,-145.981157743,61.3084647398,13,-216.5757459,89.4987628353,-190.818036397,81.3585871467,12,0.223837428028,0.0675652645191,0.622390065901,0.159963104156,0.71731597262,0.0847726702289,0.848605774095,0.139219889434,0.731516136488,0.148690391866,0.499000354532,0.0670780485695
